Date     Low     2      3      4    High    Low     2      3      4    High    Low     2      3      4    High    Low     2      3      4    High    Low     2      3      4    High 
192607   5.82  -1.70   0.49  -1.76   2.24   2.19   2.42   0.41  -0.62  -0.33   1.91   2.73  -0.06   3.17  -1.28   1.73   1.20   1.01   0.61   2.88   3.44   6.09   2.02   3.11   0.56
192608  -2.02  -8.03   1.38   1.84   8.22   2.17  -1.18   4.05  -0.16   6.17  -0.94   1.57   2.82   4.72   8.36   1.30   3.77   2.16   2.02   4.80   1.02   4.19   2.01   5.48   7.76
192609  -4.83  -2.62  -4.34   1.66   0.45  -1.85  -1.26  -0.10  -0.89  -0.94  -0.39   1.11  -2.29   2.03  -4.18   1.49  -0.69  -2.11   1.43   1.97  -1.30   3.65   0.09  -0.75  -2.43
192610  -9.37  -3.55  -3.49  -0.97  -2.31  -1.80  -3.27  -5.56  -7.64  -1.32  -5.12  -2.10  -0.03  -2.03  -3.11  -2.64  -2.72  -2.37  -2.93  -5.59  -2.75  -3.01  -2.25  -4.67  -5.81
192611   5.59   4.19   2.46  -3.50   0.46   2.90  -2.37   4.85   2.11   2.73   1.91   4.59   0.49   5.44   3.53   3.64   2.33   3.70   4.85   1.86   4.29   2.54   1.52   3.66   2.56
192612  14.96  -1.38   0.15   4.69   0.87   3.30   4.75   2.37   1.54   5.20  -1.32   2.26  -1.22   3.02   0.00   2.64   2.92   1.88   3.04   1.70   1.49   3.46   1.98   6.24   2.40
192701   1.09  -8.14  -5.21   5.51   1.85   2.56  -4.24  -0.93  -0.59  11.06  -0.63   0.10  -0.31   2.72   2.64   2.03   1.32  -0.56   0.34   7.60  -0.78   0.33  -0.44   0.55   4.21
192702   2.87  -0.49   8.91   6.52  10.03   1.96   8.69   8.29   4.39   7.59   6.12   5.02   4.87   6.51  13.23   5.26   3.95   2.39   6.32  11.38   3.45   5.09   3.42   5.13   6.27
192703   5.82  -0.13  -5.88  -5.73  -3.49  -1.79  -0.52  -0.76  -1.78  -0.55   0.52  -3.85  -1.05  -2.08  -6.58  -1.68  -0.27  -1.54  -1.08   5.37   0.57   1.98  -0.13   0.48  -3.84
192704   7.82   4.79   4.39   4.54   6.33  -2.33  -5.65  -1.31   0.98   4.47  -2.29   1.00  -1.67   2.27   1.17   0.46   1.76  -1.33   0.29   6.54   2.69   0.89  -0.31  -0.42  -3.53
192705  10.25   7.26   2.58  13.89  10.02   7.66   2.52   5.26   8.32  13.45   3.03   6.22   6.34   7.49  13.15   4.84   5.95   3.93   6.97   7.22   5.68   4.68   5.52   5.42   4.78
192706  -3.43  10.62  -3.06   0.07  -4.66   3.48   3.21   2.75  -0.40  -6.38  -0.69  -3.53  -1.24   0.15   3.65   0.79  -3.20  -3.50  -2.21   0.20  -0.05  -3.14  -2.75  -3.05  -5.36
192707  23.92  11.88   4.67   2.12   5.12   5.39   6.99   5.52   7.63   4.43   3.04   5.60   5.54   2.62   7.68   6.56   6.91   7.05   7.51   2.23  11.33   5.79   6.65   8.59  13.45
192708  12.43   3.58   0.80  -0.86   1.14   0.67  -2.60  -2.14   1.34   5.09   0.39   1.89   2.74  -2.65  -5.49   4.77   3.55   1.00  -2.63  -6.29   5.55   1.23   0.49   0.87   3.91
192709  -5.72  -5.88   0.52  -0.43   1.22   2.11   7.97   2.39   0.64  -1.33   3.97   0.62   1.79   2.17   9.74   4.01   3.13   4.92   4.26   9.23   6.16   4.08   5.58   3.99   5.59
192710  -8.76  -9.61  -2.23  -4.36  -9.68   1.79  -1.00  -0.91  -3.36  -4.70  -0.35  -1.69   0.41  -3.98 -10.81   0.40  -1.94  -2.67  -4.70 -10.86  -5.04  -2.23  -4.15  -6.45 -14.55
192711   6.90  13.81  16.53   8.28  12.75  14.55  15.20   7.42   8.92   8.33   6.41   8.57   9.09   6.21   9.89   7.64   8.44   7.67   7.77   7.92   7.08   6.50   6.00   7.04   8.08
192712  -3.99   2.57   3.80   3.41   6.31   3.59   3.74   1.32   1.77   1.08   4.43   5.29   4.94   3.85  10.55   0.19   5.56   4.33   1.67  -2.40   2.86   1.31   1.27   2.45  10.38
192801  -8.24  10.20   5.03   1.69  11.28   1.66   3.87   1.36   4.48   1.01   5.07   2.90   3.35   2.29  -5.98   1.77   1.08   0.27   2.21   1.08  -1.27  -0.26  -0.63  -1.64  -5.06
192802   0.65  -2.99   5.78   2.87  -4.34  -6.49  -2.06  -2.69  -0.08  -7.21  -2.56  -2.31  -3.04  -2.34  -6.15  -4.71  -0.87  -2.05  -3.01  -8.90  -0.15  -0.63  -0.49  -2.12  -1.39
