Date      Mkt-RF     SMB     HML      RF
192607    2.95   -2.54   -2.65    0.22
192608    2.64   -1.22    4.25    0.25
192609    0.37   -1.21   -0.39    0.23
192610   -3.24   -0.09    0.26    0.32
192611    2.55   -0.15   -0.54    0.31
192612    2.62   -0.13   -0.08    0.28
192701   -0.05   -0.24    4.61    0.25
192702    4.17    0.36    3.43    0.26
192703    0.13   -1.62   -2.80    0.30
192704    0.47    0.15    0.55    0.25
192705    5.44    1.34    4.70    0.30
192706   -2.33    0.90   -2.00    0.26
192707    7.26   -3.18   -1.10    0.30
192708    1.97   -0.79   -3.58    0.28
192709    4.76   -3.65   -0.69    0.21
192710   -4.31    2.07   -4.27    0.25
192711    6.58    2.74   -0.46    0.21
192712    2.09    0.82   -0.86    0.22
192801   -0.68    4.23   -0.91    0.25
192802   -1.70   -2.15   -0.52    0.33
192803    8.81   -0.30   -1.11    0.29
192804    4.22    3.78    3.80    0.22
192805    1.51    2.90   -3.48    0.32
192806   -4.85   -3.50   -0.15    0.31
192807    0.64   -1.35   -0.48    0.32
192808    6.66   -2.02   -2.22    0.32
192809    2.85    2.12    0.92    0.27
192810    1.35    2.28   -2.22    0.41
192811   11.79   -1.98    2.94    0.38
192812    0.34   -0.84   -0.42    0.06
192901    4.60   -3.54   -1.21    0.34
192902   -0.36   -0.25    1.98    0.36
192903   -0.87   -4.89    1.61    0.34
192904    1.46   -0.92    0.54    0.36
192905   -6.38   -5.42   -1.56    0.44
192906    9.65   -2.20   -2.61    0.52
192907    4.48   -3.98    2.50    0.33
192908    8.17   -9.18   -0.24    0.40
192909   -5.44    1.61   -1.11    0.35
192910  -20.07   -3.86    8.23    0.46
192911  -12.70   -1.91    4.89    0.37
192912    1.32   -4.03   -0.22    0.37
193001    5.59    3.55   -1.48    0.14
193002    2.49    0.25   -0.08    0.30
193003    7.07    3.30    0.27    0.35
193004   -2.05   -0.14   -0.98    0.21
193005   -1.65   -2.00   -0.38    0.26
193006  -16.25   -3.46    2.35    0.27
193007    4.09    0.12   -2.44    0.20
193008    0.30   -2.15   -0.69    0.09
193009  -12.72   -2.44   -4.56    0.22
193010   -8.79   -0.27   -0.98    0.09
193011   -3.07    2.06   -3.55    0.13
193012   -7.82   -4.78   -5.38    0.14
193101    6.18    3.76    6.91    0.15
193102   10.77    3.64    1.90    0.04
193103   -6.47    3.14   -3.11    0.13
193104   -9.88   -4.43   -3.69    0.08
193105  -13.16    5.21   -6.53    0.09
193106   13.75   -5.01   11.01    0.08
193107   -6.60    1.51   -2.84    0.06
193108    0.41   -1.79   -1.24    0.03
193109  -29.07   -0.24   -6.29    0.03
193110    7.92   -1.96    1.85    0.10
193111   -9.27    4.80   -5.83    0.17
193112  -13.42   -1.70   -7.36    0.12
193201   -1.55    4.48    8.47    0.23
193202    5.41   -2.16   -2.66    0.23
193203  -11.08    1.37   -0.59    0.16
193204  -17.98    0.83    2.17    0.11
193205  -20.44    3.86   -3.36    0.06
193206   -0.72   -0.95    6.66    0.02
193207   33.47   -3.87   33.82    0.03
193208   36.41   16.42   30.74    0.03
193209   -3.05   -2.74   -6.08    0.03
193210  -13.09   -2.89   -9.68    0.02
193211   -5.61    1.64  -13.03    0.02
193212    4.35   -8.49   -7.80    0.01
193301    1.28    0.72    6.34    0.01
193302  -15.06   -2.95   -2.66   -0.03
193303    3.33    4.03    6.99    0.04
193304   37.93    5.85   16.31    0.10
193305   21.36   37.47   17.84    0.04
193306   13.05    8.08   -1.17    0.02
193307   -9.56   -0.38    2.84    0.02
193308   12.03   -4.34    1.21    0.03
193309  -10.53   -0.30  -11.83    0.02
193310   -8.34   -0.24   -8.12    0.01
193311    9.96   -6.64    2.44    0.02
193312    1.84    0.43   -1.80    0.02
193401   12.63   12.04   16.21    0.05
193402   -2.46    4.71    2.95    0.02
193403    0.05    2.48   -2.66    0.02
193404   -1.80    2.69   -3.50    0.01
193405   -7.15   -0.77   -5.22    0.01
193406    2.64   -2.25   -2.86    0.01
193407  -10.99   -6.64  -10.84    0.01
193408    5.69    5.24    0.18    0.01
193409   -0.19   -1.41   -1.36    0.01
193410   -1.74    1.77   -5.54    0.01
193411    8.39    6.53   -2.23    0.01
193412    0.38    2.79   -2.57    0.01
193501   -3.43    0.93   -2.00    0.01
193502   -1.87    0.49   -7.36    0.02
193503   -3.69   -3.40   -5.09    0.01
193504    9.00   -1.56    3.99    0.01
193505    3.47   -3.23    2.56    0.01
193506    5.87   -4.60    1.49    0.01
193507    7.51    1.58    7.03    0.01
193508    2.57    6.51    5.19    0.01
193509    2.64    1.65   -3.85    0.01
193510    6.99    2.65   -1.75    0.01
193511    4.88    3.90   12.03    0.02
193512    4.55    0.46    0.97    0.01
193601    6.76    5.43   10.13    0.01
193602    2.52    1.17    5.18    0.01
193603    0.99    0.66   -1.39    0.02
193604   -8.13   -6.00   -2.40    0.02
193605    5.17    0.89    2.70    0.02
193606    2.40   -2.57   -2.25    0.03
193607    6.65    1.44    3.29    0.01
193608    0.98    0.60    4.16    0.02
193609    1.01    2.97    0.86    0.01
193610    7.10   -2.26    2.40    0.02
193611    3.25    8.74   -1.37    0.01
193612    0.27    3.26    3.42    0.00
193701    3.28    4.51    2.56    0.01
193702    1.10    1.50    5.42    0.02
193703   -0.28   -2.06    6.20    0.01
193704   -7.34   -3.55   -3.86    0.03
193705   -0.81   -0.69   -4.04    0.06
193706   -4.20   -3.67   -3.18    0.03
193707    8.83    1.14    0.81    0.03
193708   -4.84    0.39   -2.35    0.02
193709  -13.57   -6.97   -4.74    0.04
193710   -9.59    0.47   -1.34    0.02
193711   -8.29   -3.84    0.21    0.02
193712   -4.19   -7.78   -0.80    0.00
193801    0.49    5.07   -1.47    0.00
193802    5.82    0.48   -1.99    0.00
193803  -23.80   -4.39   -3.64   -0.01
193804   14.49    6.57    0.71    0.01
193805   -3.82   -2.48   -0.36    0.00
